asset, class, price, date-time, flags, quantity
RIZ5,SPBFUT,85588.504932347,2015-10-14T9-5-1.464,1026,1
RIZ5,SPBFUT,85604.803945878,2015-10-14T9-11-9.624,2,1
RIZ5,SPBFUT,85619.843156702,2015-10-14T9-16-45.941,2,1
RIZ5,SPBFUT,85631.874525362,2015-10-14T9-16-45.941,2,2
RIZ5,SPBFUT,85643.499620289,2015-10-14T9-16-45.941,2,1
RIZ5,SPBFUT,85654.799696232,2015-10-14T9-16-45.941,2,1
RIZ5,SPBFUT,85665.839756985,2015-10-14T9-16-45.941,2,1
RIZ5,SPBFUT,85674.671805588,2015-10-14T9-16-45.956,2,1
RIZ5,SPBFUT,85681.737444471,2015-10-14T9-16-46.502,2,1
RIZ5,SPBFUT,85687.389955576,2015-10-14T9-16-57.954,2,1
RIZ5,SPBFUT,85683.911964461,2015-10-14T9-16-59.579,1,1
RIZ5,SPBFUT,85689.129571569,2015-10-14T9-17-3.467,2,1
RIZ5,SPBFUT,85685.303657255,2015-10-14T9-17-5.629,1,1
RIZ5,SPBFUT,85682.242925804,2015-10-14T9-23-58.763,1,2
RIZ5,SPBFUT,85649.794340643,2015-10-14T9-23-58.763,1,1
RIZ5,SPBFUT,85621.835472515,2015-10-14T9-23-58.763,1,2
RIZ5,SPBFUT,85639.468378012,2015-10-14T9-28-35.478,2,1
RIZ5,SPBFUT,85653.574702409,2015-10-14T9-29-33.908,2,2
RIZ5,SPBFUT,85664.859761927,2015-10-14T9-29-33.953,2,1
RIZ5,SPBFUT,85673.887809542,2015-10-14T9-33-21.542,2,1
RIZ5,SPBFUT,85679.110247634,2015-10-14T9-38-13.67,2,4
RIZ5,SPBFUT,85685.288198107,2015-10-14T9-38-13.67,2,2
RIZ5,SPBFUT,85654.230558485,2015-10-14T9-43-35.69,1,1
RIZ5,SPBFUT,85627.384446788,2015-10-14T9-43-35.69,1,1
RIZ5,SPBFUT,85637.907557431,2015-10-14T9-47-24.52,2,1
RIZ5,SPBFUT,85650.326045945,2015-10-14T9-47-24.52,2,1
RIZ5,SPBFUT,85660.260836756,2015-10-14T9-47-25.96,2,1
RIZ5,SPBFUT,85668.208669405,2015-10-14T9-49-7.563,2,1
RIZ5,SPBFUT,85674.566935524,2015-10-14T9-49-33.279,2,2
RIZ5,SPBFUT,85643.653548419,2015-10-14T9-54-28.493,1,1
RIZ5,SPBFUT,85654.922838735,2015-10-14T9-55-50.836,2,1
RIZ5,SPBFUT,85665.938270988,2015-10-14T9-55-50.836,2,7
RIZ5,SPBFUT,85674.75061679,2015-10-14T9-57-5.391,2,2
RIZ5,SPBFUT,85683.800493432,2015-10-14T9-58-38.05,2,1
RIZ5,SPBFUT,85689.040394746,2015-10-14T9-58-38.221,1,1
RIZ5,SPBFUT,85693.232315797,2015-10-14T10-0-1.179,1,1
RIZ5,SPBFUT,85696.585852637,2015-10-14T10-0-1.217,1,1
RIZ5,SPBFUT,85699.26868211,2015-10-14T10-0-1.217,1,2
RIZ5,SPBFUT,85681.414945688,2015-10-14T10-0-1.217,1,1
RIZ5,SPBFUT,85675.13195655,2015-10-14T10-0-1.814,2,1
RIZ5,SPBFUT,85648.10556524,2015-10-14T10-0-3.631,1,2
RIZ5,SPBFUT,85622.484452192,2015-10-14T10-0-3.631,1,3
RIZ5,SPBFUT,85599.987561754,2015-10-14T10-0-3.631,1,1
RIZ5,SPBFUT,85581.990049403,2015-10-14T10-0-3.631,1,3
RIZ5,SPBFUT,85565.592039522,2015-10-14T10-0-3.631,1,1
RIZ5,SPBFUT,85572.473631618,2015-10-14T10-0-4.255,1,2
RIZ5,SPBFUT,85577.978905294,2015-10-14T10-0-4.407,1,1
RIZ5,SPBFUT,85606.383124235,2015-10-14T10-0-5.126,2,6
RIZ5,SPBFUT,85605.106499388,2015-10-14T10-0-5.787,1,1
RIZ5,SPBFUT,85606.085199511,2015-10-14T10-0-6.851,1,1
RIZ5,SPBFUT,85604.868159609,2015-10-14T10-0-7.123,1,1
RIZ5,SPBFUT,85597.894527687,2015-10-14T10-0-10.201,1,1
RIZ5,SPBFUT,85578.315622149,2015-10-14T10-0-10.201,1,1
RIZ5,SPBFUT,85562.65249772,2015-10-14T10-0-10.251,1,5
RIZ5,SPBFUT,85550.121998176,2015-10-14T10-0-10.257,1,1
RIZ5,SPBFUT,85540.097598541,2015-10-14T10-0-13.899,1,1
RIZ5,SPBFUT,85538.078078832,2015-10-14T10-0-20.69,1,1
RIZ5,SPBFUT,85534.462463066,2015-10-14T10-0-20.693,1,1
RIZ5,SPBFUT,85531.569970453,2015-10-14T10-0-20.693,1,1
RIZ5,SPBFUT,85529.255976362,2015-10-14T10-0-20.693,1,1
RIZ5,SPBFUT,85527.40478109,2015-10-14T10-0-20.693,1,1
RIZ5,SPBFUT,85525.923824872,2015-10-14T10-0-20.693,1,1
RIZ5,SPBFUT,85524.739059897,2015-10-14T10-0-20.693,1,1
RIZ5,SPBFUT,85523.791247918,2015-10-14T10-0-20.693,1,1
RIZ5,SPBFUT,85529.032998334,2015-10-14T10-0-23.217,1,1
RIZ5,SPBFUT,85529.226398667,2015-10-14T10-0-24.276,1,2
RIZ5,SPBFUT,85527.381118934,2015-10-14T10-0-24.276,1,1
RIZ5,SPBFUT,85525.904895147,2015-10-14T10-0-24.276,1,1
RIZ5,SPBFUT,85522.723916118,2015-10-14T10-0-24.276,1,1
RIZ5,SPBFUT,85536.179132894,2015-10-14T10-0-25.784,2,1
