asset, class, date-time, unix-time-stamp, price, flags, quantity
SiZ5,SPBFUT,2015-10-29T9-17-35.981,1446099455,64811,1025,1
SiZ5,SPBFUT,2015-10-29T9-17-35.981,1446099455,64811,1,1
SiZ5,SPBFUT,2015-10-29T9-18-20.225,1446099500,65027,2,2
SiZ5,SPBFUT,2015-10-29T9-25-55.868,1446099955,64811,1,2
SiZ5,SPBFUT,2015-10-29T9-36-51.635,1446100611,65030,2,2
SiZ5,SPBFUT,2015-10-29T9-37-14.557,1446100634,65030,2,1
SiZ5,SPBFUT,2015-10-29T9-37-14.911,1446100634,64813,1,1
SiZ5,SPBFUT,2015-10-29T9-53-52.148,1446101632,64812,1,1
SiZ5,SPBFUT,2015-10-29T9-53-52.148,1446101632,64812,1,2
SiZ5,SPBFUT,2015-10-29T9-53-52.148,1446101632,64812,1,1
SiZ5,SPBFUT,2015-10-29T9-53-52.148,1446101632,64812,1,6
SiZ5,SPBFUT,2015-10-29T9-54-10.178,1446101650,65037,2,1
SiZ5,SPBFUT,2015-10-29T9-54-44.113,1446101684,65028,2,1
SiZ5,SPBFUT,2015-10-29T9-54-46.942,1446101686,65021,2,1
SiZ5,SPBFUT,2015-10-29T9-54-49.946,1446101689,65059,2,1
SiZ5,SPBFUT,2015-10-29T9-54-56.592,1446101696,65059,2,1
SiZ5,SPBFUT,2015-10-29T9-54-59.921,1446101699,65059,2,1
SiZ5,SPBFUT,2015-10-29T9-55-2.833,1446101702,65059,2,1
SiZ5,SPBFUT,2015-10-29T9-55-5.604,1446101705,65059,2,1
SiZ5,SPBFUT,2015-10-29T9-55-9.128,1446101709,65060,2,1
SiZ5,SPBFUT,2015-10-29T9-55-11.944,1446101711,65060,2,1
SiZ5,SPBFUT,2015-10-29T9-55-14.8,1446101714,65060,2,1
SiZ5,SPBFUT,2015-10-29T9-55-18.184,1446101718,65130,2,1
SiZ5,SPBFUT,2015-10-29T9-55-21.281,1446101721,65145,2,1
SiZ5,SPBFUT,2015-10-29T9-55-56.661,1446101756,65145,2,2
SiZ5,SPBFUT,2015-10-29T9-57-26.075,1446101846,65145,2,7
SiZ5,SPBFUT,2015-10-29T9-59-27.197,1446101967,65146,2,1
SiZ5,SPBFUT,2015-10-29T9-59-46.204,1446101986,65146,2,1
SiZ5,SPBFUT,2015-10-29T10-0-0.785,1446102000,65128,1,1
SiZ5,SPBFUT,2015-10-29T10-0-1.227,1446102001,65130,1,2
SiZ5,SPBFUT,2015-10-29T10-0-1.227,1446102001,65129,1,1
SiZ5,SPBFUT,2015-10-29T10-0-1.685,1446102001,65092,1,2
SiZ5,SPBFUT,2015-10-29T10-0-1.835,1446102001,65090,1,1
SiZ5,SPBFUT,2015-10-29T10-0-1.835,1446102001,65081,1,1
SiZ5,SPBFUT,2015-10-29T10-0-1.835,1446102001,65038,1,1
SiZ5,SPBFUT,2015-10-29T10-0-2.014,1446102002,65039,1,20
SiZ5,SPBFUT,2015-10-29T10-0-2.149,1446102002,65040,1,1
SiZ5,SPBFUT,2015-10-29T10-0-2.149,1446102002,65038,1,3
SiZ5,SPBFUT,2015-10-29T10-0-2.446,1446102002,64910,2,2
SiZ5,SPBFUT,2015-10-29T10-0-2.446,1446102002,64911,2,2
SiZ5,SPBFUT,2015-10-29T10-0-2.446,1446102002,64912,2,11
SiZ5,SPBFUT,2015-10-29T10-0-2.923,1446102002,64912,2,1
SiZ5,SPBFUT,2015-10-29T10-0-3.008,1446102003,64912,2,2
SiZ5,SPBFUT,2015-10-29T10-0-5.856,1446102005,64812,1,2
SiZ5,SPBFUT,2015-10-29T10-0-5.856,1446102005,64811,1,1
SiZ5,SPBFUT,2015-10-29T10-0-5.856,1446102005,64810,1,3
SiZ5,SPBFUT,2015-10-29T10-0-5.946,1446102005,64810,1,2
SiZ5,SPBFUT,2015-10-29T10-0-5.946,1446102005,64775,1,1
SiZ5,SPBFUT,2015-10-29T10-0-5.946,1446102005,64774,1,1
SiZ5,SPBFUT,2015-10-29T10-0-5.946,1446102005,64761,1,1
SiZ5,SPBFUT,2015-10-29T10-0-5.946,1446102005,64752,1,5
SiZ5,SPBFUT,2015-10-29T10-0-5.946,1446102005,64750,1,2
SiZ5,SPBFUT,2015-10-29T10-0-5.984,1446102005,64811,1,1
SiZ5,SPBFUT,2015-10-29T10-0-6.03,1446102006,64750,1,3
SiZ5,SPBFUT,2015-10-29T10-0-6.03,1446102006,64737,1,1
SiZ5,SPBFUT,2015-10-29T10-0-6.129,1446102006,64751,1,1
SiZ5,SPBFUT,2015-10-29T10-0-6.413,1446102006,64754,2,2
SiZ5,SPBFUT,2015-10-29T10-0-7.224,1446102007,64715,1,1
SiZ5,SPBFUT,2015-10-29T10-0-8.127,1446102008,64715,1,5
SiZ5,SPBFUT,2015-10-29T10-0-8.188,1446102008,64717,2,2
SiZ5,SPBFUT,2015-10-29T10-0-8.527,1446102008,64716,1,2
SiZ5,SPBFUT,2015-10-29T10-0-8.627,1446102008,64716,1,2
SiZ5,SPBFUT,2015-10-29T10-0-8.629,1446102008,64754,2,7
SiZ5,SPBFUT,2015-10-29T10-0-9.125,1446102009,64716,1,2
SiZ5,SPBFUT,2015-10-29T10-0-9.125,1446102009,64715,1,4
SiZ5,SPBFUT,2015-10-29T10-0-9.125,1446102009,64712,1,4
SiZ5,SPBFUT,2015-10-29T10-0-9.125,1446102009,64711,1,1
SiZ5,SPBFUT,2015-10-29T10-0-9.302,1446102009,64721,2,2
SiZ5,SPBFUT,2015-10-29T10-0-9.302,1446102009,64721,2,2
SiZ5,SPBFUT,2015-10-29T10-0-9.302,1446102009,64751,2,3
SiZ5,SPBFUT,2015-10-29T10-0-9.789,1446102009,64708,1,2
SiZ5,SPBFUT,2015-10-29T10-0-9.789,1446102009,64707,1,2
SiZ5,SPBFUT,2015-10-29T10-0-9.789,1446102009,64706,1,1
SiZ5,SPBFUT,2015-10-29T10-0-9.789,1446102009,64704,1,2
SiZ5,SPBFUT,2015-10-29T10-0-9.789,1446102009,64704,1,18
SiZ5,SPBFUT,2015-10-29T10-0-10.902,1446102010,64708,2,1
SiZ5,SPBFUT,2015-10-29T10-0-11.574,1446102011,64703,1,2
SiZ5,SPBFUT,2015-10-29T10-0-11.811,1446102011,64700,1,18
SiZ5,SPBFUT,2015-10-29T10-0-12.125,1446102012,64700,1,2
SiZ5,SPBFUT,2015-10-29T10-0-12.125,1446102012,64700,1,23
SiZ5,SPBFUT,2015-10-29T10-0-12.245,1446102012,64714,2,2
SiZ5,SPBFUT,2015-10-29T10-0-12.57,1446102012,64923,2,2
SiZ5,SPBFUT,2015-10-29T10-0-12.57,1446102012,64924,2,23
SiZ5,SPBFUT,2015-10-29T10-0-12.727,1446102012,64701,1,2
SiZ5,SPBFUT,2015-10-29T10-0-12.882,1446102012,64701,1,2
SiZ5,SPBFUT,2015-10-29T10-0-13.047,1446102013,64700,1,2
SiZ5,SPBFUT,2015-10-29T10-0-13.647,1446102013,64700,1,2
SiZ5,SPBFUT,2015-10-29T10-0-13.807,1446102013,64914,2,2
SiZ5,SPBFUT,2015-10-29T10-0-13.807,1446102013,64914,2,2
SiZ5,SPBFUT,2015-10-29T10-0-13.807,1446102013,64915,2,2
SiZ5,SPBFUT,2015-10-29T10-0-13.807,1446102013,64924,2,3
SiZ5,SPBFUT,2015-10-29T10-0-14.108,1446102014,64701,1,2
SiZ5,SPBFUT,2015-10-29T10-0-14.422,1446102014,64701,1,2
SiZ5,SPBFUT,2015-10-29T10-0-14.581,1446102014,64924,2,9
SiZ5,SPBFUT,2015-10-29T10-0-14.727,1446102014,64700,1,14
SiZ5,SPBFUT,2015-10-29T10-0-15.24,1446102015,64913,2,2
SiZ5,SPBFUT,2015-10-29T10-0-15.24,1446102015,64914,2,2
SiZ5,SPBFUT,2015-10-29T10-0-15.24,1446102015,64924,2,5
SiZ5,SPBFUT,2015-10-29T10-0-16.035,1446102016,64924,2,5
SiZ5,SPBFUT,2015-10-29T10-0-16.515,1446102016,64708,2,12
SiZ5,SPBFUT,2015-10-29T10-0-16.683,1446102016,64707,2,2
SiZ5,SPBFUT,2015-10-29T10-0-16.704,1446102016,64706,1,2
SiZ5,SPBFUT,2015-10-29T10-0-16.704,1446102016,64705,1,2
SiZ5,SPBFUT,2015-10-29T10-0-16.907,1446102016,64701,1,2
