asset, class, date-time, unix-time-stamp, price, flags, quantity
RIZ5,SPBFUT,2015-10-29T9-8-12.833,1446098892,84660,1026,1
RIZ5,SPBFUT,2015-10-29T9-14-41.28,1446099281,84060,1,1
RIZ5,SPBFUT,2015-10-29T9-14-44.957,1446099284,84060,1,1
RIZ5,SPBFUT,2015-10-29T9-14-45.064,1446099285,84660,2,1
RIZ5,SPBFUT,2015-10-29T9-22-54.98,1446099774,84110,1,1
RIZ5,SPBFUT,2015-10-29T9-25-14.415,1446099914,84600,2,1
RIZ5,SPBFUT,2015-10-29T9-29-29.06,1446100169,84600,2,2
RIZ5,SPBFUT,2015-10-29T9-29-49.194,1446100189,84500,1,1
RIZ5,SPBFUT,2015-10-29T9-56-30.134,1446101790,84660,2,1
RIZ5,SPBFUT,2015-10-29T9-58-37.986,1446101917,84600,1,1
RIZ5,SPBFUT,2015-10-29T9-59-17.953,1446101957,84660,2,1
RIZ5,SPBFUT,2015-10-29T9-59-39.69,1446101979,84660,2,1
RIZ5,SPBFUT,2015-10-29T10-0-0.402,1446102000,84660,2,1
RIZ5,SPBFUT,2015-10-29T10-0-0.43,1446102000,84660,2,5
RIZ5,SPBFUT,2015-10-29T10-0-0.533,1446102000,84500,1,2
RIZ5,SPBFUT,2015-10-29T10-0-0.533,1446102000,84110,1,3
RIZ5,SPBFUT,2015-10-29T10-0-0.787,1446102000,84660,2,5
RIZ5,SPBFUT,2015-10-29T10-0-1.071,1446102001,84660,2,1
RIZ5,SPBFUT,2015-10-29T10-0-1.086,1446102001,84660,2,5
RIZ5,SPBFUT,2015-10-29T10-0-1.086,1446102001,84660,2,1
RIZ5,SPBFUT,2015-10-29T10-0-1.086,1446102001,84660,2,2
RIZ5,SPBFUT,2015-10-29T10-0-1.086,1446102001,84660,2,2
RIZ5,SPBFUT,2015-10-29T10-0-1.7,1446102001,84660,2,1
RIZ5,SPBFUT,2015-10-29T10-0-2.731,1446102002,84660,2,1
RIZ5,SPBFUT,2015-10-29T10-0-2.945,1446102002,84670,2,1
RIZ5,SPBFUT,2015-10-29T10-0-2.945,1446102002,84680,2,1
RIZ5,SPBFUT,2015-10-29T10-0-3.421,1446102003,84680,2,1
RIZ5,SPBFUT,2015-10-29T10-0-3.421,1446102003,84700,2,1
RIZ5,SPBFUT,2015-10-29T10-0-3.558,1446102003,84700,2,1
RIZ5,SPBFUT,2015-10-29T10-0-3.558,1446102003,84700,2,1
RIZ5,SPBFUT,2015-10-29T10-0-3.558,1446102003,84720,2,1
RIZ5,SPBFUT,2015-10-29T10-0-3.722,1446102003,84720,2,1
RIZ5,SPBFUT,2015-10-29T10-0-3.722,1446102003,84730,2,3
RIZ5,SPBFUT,2015-10-29T10-0-3.722,1446102003,84730,2,1
RIZ5,SPBFUT,2015-10-29T10-0-3.722,1446102003,84740,2,1
RIZ5,SPBFUT,2015-10-29T10-0-4.359,1446102004,84110,1,1
RIZ5,SPBFUT,2015-10-29T10-0-5.563,1446102005,84110,1,1
RIZ5,SPBFUT,2015-10-29T10-0-5.59,1446102005,84110,1,1
RIZ5,SPBFUT,2015-10-29T10-0-6.207,1446102006,84760,2,1
RIZ5,SPBFUT,2015-10-29T10-0-6.207,1446102006,84760,2,1
RIZ5,SPBFUT,2015-10-29T10-0-6.207,1446102006,84760,2,1
RIZ5,SPBFUT,2015-10-29T10-0-6.309,1446102006,84770,2,1
RIZ5,SPBFUT,2015-10-29T10-0-6.551,1446102006,84770,2,11
RIZ5,SPBFUT,2015-10-29T10-0-6.688,1446102006,84770,2,4
RIZ5,SPBFUT,2015-10-29T10-0-6.701,1446102006,84770,2,1
RIZ5,SPBFUT,2015-10-29T10-0-6.702,1446102006,84770,2,1
RIZ5,SPBFUT,2015-10-29T10-0-6.706,1446102006,84770,2,1
RIZ5,SPBFUT,2015-10-29T10-0-6.709,1446102006,84770,2,1
RIZ5,SPBFUT,2015-10-29T10-0-6.745,1446102006,84770,2,6
RIZ5,SPBFUT,2015-10-29T10-0-6.858,1446102006,84110,1,1
RIZ5,SPBFUT,2015-10-29T10-0-6.858,1446102006,84040,1,2
RIZ5,SPBFUT,2015-10-29T10-0-6.858,1446102006,84030,1,1
RIZ5,SPBFUT,2015-10-29T10-0-7.013,1446102007,84030,1,6
RIZ5,SPBFUT,2015-10-29T10-0-7.068,1446102007,84030,1,1
RIZ5,SPBFUT,2015-10-29T10-0-7.268,1446102007,84770,2,1
RIZ5,SPBFUT,2015-10-29T10-0-7.382,1446102007,84770,2,2
RIZ5,SPBFUT,2015-10-29T10-0-7.699,1446102007,84770,2,3
