asset, class, price, date-time, flags, quantity
SiZ5,SPBFUT,64146.120763733,2015-10-8T9-10-29.199,1026,1
SiZ5,SPBFUT,64146.896610986,2015-10-8T9-10-48.773,2,1
SiZ5,SPBFUT,64147.317288789,2015-10-8T9-15-51.171,2,1
SiZ5,SPBFUT,64130.653831031,2015-10-8T9-16-15.101,1,1
SiZ5,SPBFUT,64117.123064825,2015-10-8T9-16-15.101,1,1
SiZ5,SPBFUT,64106.09845186,2015-10-8T9-16-15.101,1,1
SiZ5,SPBFUT,64096.878761488,2015-10-8T9-16-15.101,1,3
SiZ5,SPBFUT,64088.10300919,2015-10-8T9-16-15.101,1,1
SiZ5,SPBFUT,64080.482407352,2015-10-8T9-16-15.101,1,4
SiZ5,SPBFUT,64074.385925882,2015-10-8T9-16-15.118,1,1
SiZ5,SPBFUT,64067.708740705,2015-10-8T9-16-15.118,1,1
SiZ5,SPBFUT,64062.166992564,2015-10-8T9-16-15.118,1,1
SiZ5,SPBFUT,64050.733594051,2015-10-8T9-16-15.118,1,2
SiZ5,SPBFUT,64070.586875241,2015-10-8T9-49-49.079,2,1
SiZ5,SPBFUT,64057.669500193,2015-10-8T9-49-49.138,1,1
SiZ5,SPBFUT,64047.135600154,2015-10-8T9-49-49.138,1,1
SiZ5,SPBFUT,64067.708480123,2015-10-8T9-55-15.837,2,1
SiZ5,SPBFUT,64055.166784099,2015-10-8T9-57-52.022,1,2
SiZ5,SPBFUT,64044.133427279,2015-10-8T10-0-0.052,1,3
SiZ5,SPBFUT,64033.306741823,2015-10-8T10-0-0.052,1,1
SiZ5,SPBFUT,64021.445393459,2015-10-8T10-0-0.052,1,2
SiZ5,SPBFUT,64010.356314767,2015-10-8T10-0-0.052,1,5
SiZ5,SPBFUT,64000.285051813,2015-10-8T10-0-0.052,1,1
SiZ5,SPBFUT,63991.428041451,2015-10-8T10-0-0.052,1,1
SiZ5,SPBFUT,63984.342433161,2015-10-8T10-0-0.052,1,2
SiZ5,SPBFUT,63977.673946529,2015-10-8T10-0-0.052,1,4
SiZ5,SPBFUT,63972.139157223,2015-10-8T10-0-0.052,1,5
SiZ5,SPBFUT,63965.711325778,2015-10-8T10-0-0.052,1,20
SiZ5,SPBFUT,63959.969060623,2015-10-8T10-0-0.086,1,1
SiZ5,SPBFUT,63953.975248498,2015-10-8T10-0-0.125,1,1
SiZ5,SPBFUT,63949.180198798,2015-10-8T10-0-0.217,1,4
SiZ5,SPBFUT,63945.344159039,2015-10-8T10-0-0.217,1,1
SiZ5,SPBFUT,63942.275327231,2015-10-8T10-0-0.217,1,1
SiZ5,SPBFUT,63939.220261785,2015-10-8T10-0-0.217,1,1
SiZ5,SPBFUT,63936.576209428,2015-10-8T10-0-0.217,1,1
SiZ5,SPBFUT,63932.060967542,2015-10-8T10-0-0.217,1,2
SiZ5,SPBFUT,63928.248774034,2015-10-8T10-0-0.217,1,1
SiZ5,SPBFUT,63924.999019227,2015-10-8T10-0-0.217,1,1
SiZ5,SPBFUT,63921.999215382,2015-10-8T10-0-0.217,1,5
SiZ5,SPBFUT,63919.599372305,2015-10-8T10-0-0.217,1,1
SiZ5,SPBFUT,63916.879497844,2015-10-8T10-0-0.217,1,100
SiZ5,SPBFUT,63914.103598275,2015-10-8T10-0-0.217,1,1
SiZ5,SPBFUT,63911.48287862,2015-10-8T10-0-0.217,1,12
