asset, class, price, date-time, flags, quantity
RIZ5,SPBFUT,83813.181520714,2015-10-8T9-9-50.19,1025,3
RIZ5,SPBFUT,83790.545216571,2015-10-8T9-9-50.796,1,2
RIZ5,SPBFUT,83772.436173257,2015-10-8T9-18-4.121,1,1
RIZ5,SPBFUT,83757.948938606,2015-10-8T9-24-24.228,1,2
RIZ5,SPBFUT,83748.359150885,2015-10-8T9-26-28.205,1,1
RIZ5,SPBFUT,83740.687320708,2015-10-8T9-31-45.66,1,1
RIZ5,SPBFUT,83734.549856566,2015-10-8T9-31-45.66,1,2
RIZ5,SPBFUT,83755.639885253,2015-10-8T9-32-41.324,2,2
RIZ5,SPBFUT,83774.511908202,2015-10-8T9-37-24.972,2,1
RIZ5,SPBFUT,83767.609526562,2015-10-8T9-47-49.794,1,1
RIZ5,SPBFUT,83832.087621249,2015-10-8T9-47-49.863,2,1
RIZ5,SPBFUT,83883.670097,2015-10-8T9-47-49.863,2,1
RIZ5,SPBFUT,83926.9360776,2015-10-8T9-47-50.541,2,1
RIZ5,SPBFUT,83961.54886208,2015-10-8T9-47-50.541,2,1
RIZ5,SPBFUT,83987.239089664,2015-10-8T9-50-15.269,2,1
RIZ5,SPBFUT,84009.791271731,2015-10-8T9-51-26.153,2,1
RIZ5,SPBFUT,84027.833017385,2015-10-8T9-57-58.362,1,1
RIZ5,SPBFUT,84040.266413908,2015-10-8T9-58-3.068,1,6
RIZ5,SPBFUT,84054.213131126,2015-10-8T9-59-35.351,2,1
RIZ5,SPBFUT,84065.370504901,2015-10-8T9-59-36.055,2,1
RIZ5,SPBFUT,84074.296403921,2015-10-8T9-59-36.318,2,1
RIZ5,SPBFUT,84081.437123137,2015-10-8T9-59-37.873,2,1
RIZ5,SPBFUT,84087.149698509,2015-10-8T9-59-38.267,2,1
RIZ5,SPBFUT,84091.719758807,2015-10-8T9-59-39.166,2,1
RIZ5,SPBFUT,84095.375807046,2015-10-8T9-59-39.535,2,1
RIZ5,SPBFUT,84098.300645637,2015-10-8T10-0-0.782,2,1
RIZ5,SPBFUT,84100.640516509,2015-10-8T10-0-0.947,2,1
RIZ5,SPBFUT,84102.512413208,2015-10-8T10-0-1.082,2,1
RIZ5,SPBFUT,84104.009930566,2015-10-8T10-0-1.533,2,2
RIZ5,SPBFUT,84105.207944453,2015-10-8T10-0-1.7,2,1
RIZ5,SPBFUT,84106.166355562,2015-10-8T10-0-3.705,2,4
RIZ5,SPBFUT,84106.93308445,2015-10-8T10-0-3.868,2,10
RIZ5,SPBFUT,84107.54646756,2015-10-8T10-0-4.95,2,3
RIZ5,SPBFUT,84108.037174048,2015-10-8T10-0-5.292,2,7
RIZ5,SPBFUT,84108.429739238,2015-10-8T10-0-5.442,2,2
RIZ5,SPBFUT,84108.743791391,2015-10-8T10-0-6.257,2,1
RIZ5,SPBFUT,84108.995033113,2015-10-8T10-0-6.923,2,1
RIZ5,SPBFUT,84109.19602649,2015-10-8T10-0-7.075,2,9
RIZ5,SPBFUT,84111.356821192,2015-10-8T10-0-7.075,2,2
RIZ5,SPBFUT,84113.085456954,2015-10-8T10-0-7.075,2,5
RIZ5,SPBFUT,84116.468365563,2015-10-8T10-0-7.075,2,1
RIZ5,SPBFUT,84123.17469245,2015-10-8T10-0-7.075,2,5
RIZ5,SPBFUT,84132.53975396,2015-10-8T10-0-7.075,2,1
RIZ5,SPBFUT,84140.031803168,2015-10-8T10-0-7.102,2,1
RIZ5,SPBFUT,84146.025442535,2015-10-8T10-0-7.398,2,1
RIZ5,SPBFUT,84150.820354028,2015-10-8T10-0-7.398,2,1
RIZ5,SPBFUT,84154.656283222,2015-10-8T10-0-7.7,2,1
RIZ5,SPBFUT,84157.725026578,2015-10-8T10-0-8.068,2,1
RIZ5,SPBFUT,84138.180021262,2015-10-8T10-0-8.871,1,3
RIZ5,SPBFUT,84144.54401701,2015-10-8T10-0-8.886,2,1
RIZ5,SPBFUT,84151.635213608,2015-10-8T10-0-8.886,2,1
RIZ5,SPBFUT,84157.308170886,2015-10-8T10-0-8.886,2,1
RIZ5,SPBFUT,84163.846536709,2015-10-8T10-0-10.031,2,1
RIZ5,SPBFUT,84169.077229367,2015-10-8T10-0-10.031,2,1
RIZ5,SPBFUT,84175.261783494,2015-10-8T10-0-10.068,2,1
RIZ5,SPBFUT,84180.209426795,2015-10-8T10-0-10.221,2,1
RIZ5,SPBFUT,84184.167541436,2015-10-8T10-0-10.801,2,1
RIZ5,SPBFUT,84159.334033149,2015-10-8T10-0-11.426,1,2
RIZ5,SPBFUT,84167.467226519,2015-10-8T10-0-12.061,2,1
RIZ5,SPBFUT,84173.973781215,2015-10-8T10-0-13.63,2,1
