asset, class, price, date-time, flags, quantity
SiZ5,SPBFUT,63609.545098039,2015-10-13T9-0-2.248,1025,1
SiZ5,SPBFUT,63564.036078431,2015-10-13T9-13-10.051,1,5
SiZ5,SPBFUT,63526.428862745,2015-10-13T9-13-10.051,1,1
SiZ5,SPBFUT,63496.143090196,2015-10-13T9-13-10.051,1,4
SiZ5,SPBFUT,63480.114472157,2015-10-13T9-52-27.849,2,1
SiZ5,SPBFUT,63459.291577725,2015-10-13T9-56-54.919,1,2
SiZ5,SPBFUT,63442.43326218,2015-10-13T9-56-54.98,1,1
SiZ5,SPBFUT,63427.146609744,2015-10-13T9-57-29.008,1,1
SiZ5,SPBFUT,63413.717287795,2015-10-13T9-57-29.008,1,5
SiZ5,SPBFUT,63402.773830236,2015-10-13T9-57-29.126,1,1
SiZ5,SPBFUT,63393.219064189,2015-10-13T9-57-47.786,1,1
SiZ5,SPBFUT,63385.575251351,2015-10-13T10-0-2.467,1,4
SiZ5,SPBFUT,63379.460201081,2015-10-13T10-0-2.691,1,2
SiZ5,SPBFUT,63374.568160865,2015-10-13T10-0-2.752,1,2
SiZ5,SPBFUT,63370.654528692,2015-10-13T10-0-2.78,1,2
SiZ5,SPBFUT,63367.323622953,2015-10-13T10-0-2.78,1,44
SiZ5,SPBFUT,63364.658898363,2015-10-13T10-0-3.046,1,6
SiZ5,SPBFUT,63361.92711869,2015-10-13T10-0-3.046,1,1
SiZ5,SPBFUT,63359.541694952,2015-10-13T10-0-3.046,1,10
SiZ5,SPBFUT,63350.633355962,2015-10-13T10-0-3.217,1,1
SiZ5,SPBFUT,63343.306684769,2015-10-13T10-0-3.217,1,1
SiZ5,SPBFUT,63337.445347816,2015-10-13T10-0-3.612,1,2
SiZ5,SPBFUT,63332.556278252,2015-10-13T10-0-3.612,1,1
SiZ5,SPBFUT,63327.045022602,2015-10-13T10-0-3.612,1,1
SiZ5,SPBFUT,63322.236018082,2015-10-13T10-0-3.612,1,2
SiZ5,SPBFUT,63321.388814465,2015-10-13T10-0-5.869,1,1
SiZ5,SPBFUT,63317.711051572,2015-10-13T10-0-5.869,1,3
SiZ5,SPBFUT,63314.368841258,2015-10-13T10-0-5.869,1,2
SiZ5,SPBFUT,63314.095073006,2015-10-13T10-0-7.436,1,5
SiZ5,SPBFUT,63315.676058405,2015-10-13T10-0-10.209,2,2
SiZ5,SPBFUT,63317.140846724,2015-10-13T10-0-10.209,2,1
SiZ5,SPBFUT,63314.112677379,2015-10-13T10-0-11.571,1,2
SiZ5,SPBFUT,63311.490141903,2015-10-13T10-0-11.571,1,8
SiZ5,SPBFUT,63322.592113523,2015-10-13T10-0-19.688,2,1
SiZ5,SPBFUT,63318.473690818,2015-10-13T10-0-23.002,1,1
SiZ5,SPBFUT,63314.978952655,2015-10-13T10-0-23.002,1,4
SiZ5,SPBFUT,63311.983162124,2015-10-13T10-0-23.002,1,1
SiZ5,SPBFUT,63309.586529699,2015-10-13T10-0-23.002,1,5
SiZ5,SPBFUT,63307.669223759,2015-10-13T10-0-23.002,1,5
SiZ5,SPBFUT,63304.735379007,2015-10-13T10-0-23.002,1,1
SiZ5,SPBFUT,63301.988303206,2015-10-13T10-0-23.002,1,14
SiZ5,SPBFUT,63307.190642565,2015-10-13T10-0-27.166,1,1
SiZ5,SPBFUT,63303.952514052,2015-10-13T10-0-31.685,1,2
SiZ5,SPBFUT,63301.362011241,2015-10-13T10-0-40.764,1,9
SiZ5,SPBFUT,63299.289608993,2015-10-13T10-0-49.781,1,1
SiZ5,SPBFUT,63299.431687194,2015-10-13T10-0-53.445,2,2
SiZ5,SPBFUT,63299.745349756,2015-10-13T10-0-53.445,2,1
SiZ5,SPBFUT,63298.196279804,2015-10-13T10-0-54.558,1,2
SiZ5,SPBFUT,63296.757023844,2015-10-13T10-0-54.558,1,1
SiZ5,SPBFUT,63295.605619075,2015-10-13T10-1-2.753,1,2
SiZ5,SPBFUT,63298.48449526,2015-10-13T10-1-5.258,2,5
SiZ5,SPBFUT,63302.587596208,2015-10-13T10-1-5.258,2,1
SiZ5,SPBFUT,63307.070076966,2015-10-13T10-1-5.258,2,2
SiZ5,SPBFUT,63306.256061573,2015-10-13T10-1-7.728,1,2
SiZ5,SPBFUT,63309.204849258,2015-10-13T10-1-8.879,2,1
SiZ5,SPBFUT,63306.363879407,2015-10-13T10-1-13.67,1,1
SiZ5,SPBFUT,63303.891103525,2015-10-13T10-1-13.67,1,1
SiZ5,SPBFUT,63301.31288282,2015-10-13T10-1-13.67,1,4
SiZ5,SPBFUT,63299.250306256,2015-10-13T10-1-18.783,1,1
SiZ5,SPBFUT,63297.600245005,2015-10-13T10-1-18.88,1,5
SiZ5,SPBFUT,63296.280196004,2015-10-13T10-1-19.613,1,2
SiZ5,SPBFUT,63295.224156803,2015-10-13T10-1-19.88,1,51
SiZ5,SPBFUT,63294.379325443,2015-10-13T10-1-21.628,1,8
SiZ5,SPBFUT,63293.703460354,2015-10-13T10-1-21.679,1,25
SiZ5,SPBFUT,63293.162768283,2015-10-13T10-1-21.719,1,25
SiZ5,SPBFUT,63292.730214627,2015-10-13T10-1-22.225,1,51
SiZ5,SPBFUT,63292.384171701,2015-10-13T10-1-22.482,1,1
SiZ5,SPBFUT,63292.107337361,2015-10-13T10-1-22.686,1,25
SiZ5,SPBFUT,63291.885869889,2015-10-13T10-1-22.748,1,100
SiZ5,SPBFUT,63291.708695911,2015-10-13T10-1-22.98,1,25
SiZ5,SPBFUT,63291.566956729,2015-10-13T10-1-23.471,1,2
SiZ5,SPBFUT,63291.453565383,2015-10-13T10-1-23.769,1,46
SiZ5,SPBFUT,63289.562852306,2015-10-13T10-1-23.769,1,5
SiZ5,SPBFUT,63286.650281845,2015-10-13T10-1-23.769,1,1
SiZ5,SPBFUT,63284.320225476,2015-10-13T10-1-23.769,1,1
SiZ5,SPBFUT,63282.456180381,2015-10-13T10-1-23.769,1,1
SiZ5,SPBFUT,63280.964944305,2015-10-13T10-1-23.769,1,1
SiZ5,SPBFUT,63279.771955444,2015-10-13T10-1-23.769,1,1
SiZ5,SPBFUT,63277.417564355,2015-10-13T10-1-23.769,1,1
SiZ5,SPBFUT,63274.934051484,2015-10-13T10-1-23.769,1,1
SiZ5,SPBFUT,63291.747241187,2015-10-13T10-1-23.824,2,2
SiZ5,SPBFUT,63286.39779295,2015-10-13T10-1-23.997,1,1
SiZ5,SPBFUT,63281.71823436,2015-10-13T10-1-23.997,1,1
SiZ5,SPBFUT,63277.174587488,2015-10-13T10-1-23.997,1,17
SiZ5,SPBFUT,63272.33966999,2015-10-13T10-1-24.006,2,2
