asset, class, price, date-time, flags, quantity
RIZ5,SPBFUT,85546.078431373,2015-10-13T9-15-22.957,1025,1
RIZ5,SPBFUT,85518.862745098,2015-10-13T9-25-28.497,1,1
RIZ5,SPBFUT,85611.090196078,2015-10-13T9-31-33.544,2,1
RIZ5,SPBFUT,85684.872156863,2015-10-13T9-31-34.604,2,4
RIZ5,SPBFUT,85661.89772549,2015-10-13T9-31-53.631,1,1
RIZ5,SPBFUT,85725.518180392,2015-10-13T9-32-49.945,2,1
RIZ5,SPBFUT,85778.414544314,2015-10-13T9-33-5.94,2,5
RIZ5,SPBFUT,85820.731635451,2015-10-13T9-33-13.314,2,1
RIZ5,SPBFUT,85770.585308361,2015-10-13T9-33-16.041,1,1
RIZ5,SPBFUT,85698.468246689,2015-10-13T9-33-16.053,1,1
RIZ5,SPBFUT,85756.774597351,2015-10-13T9-33-40.871,2,1
RIZ5,SPBFUT,85803.419677881,2015-10-13T9-33-45.3,2,1
RIZ5,SPBFUT,85760.735742305,2015-10-13T9-33-58.83,1,1
RIZ5,SPBFUT,85744.588593844,2015-10-13T9-47-38.067,1,1
RIZ5,SPBFUT,85715.670875075,2015-10-13T9-52-39.51,1,1
RIZ5,SPBFUT,85692.53670006,2015-10-13T9-53-7.451,2,1
RIZ5,SPBFUT,85672.029360048,2015-10-13T9-53-49.504,1,2
RIZ5,SPBFUT,85655.623488038,2015-10-13T9-53-49.523,1,1
RIZ5,SPBFUT,85602.498790431,2015-10-13T9-53-49.523,1,1
RIZ5,SPBFUT,85557.999032345,2015-10-13T9-53-49.523,1,1
RIZ5,SPBFUT,85520.399225876,2015-10-13T9-53-49.523,1,2
RIZ5,SPBFUT,85536.319380701,2015-10-13T10-0-0.652,2,2
RIZ5,SPBFUT,85549.05550456,2015-10-13T10-0-0.652,2,2
RIZ5,SPBFUT,85571.244403648,2015-10-13T10-0-1.878,2,1
RIZ5,SPBFUT,85592.995522919,2015-10-13T10-0-2.063,2,1
RIZ5,SPBFUT,85650.396418335,2015-10-13T10-0-2.063,2,5
RIZ5,SPBFUT,85716.317134668,2015-10-13T10-0-2.063,2,5
RIZ5,SPBFUT,85771.053707734,2015-10-13T10-0-2.063,2,1
RIZ5,SPBFUT,85814.842966187,2015-10-13T10-0-2.063,2,1
RIZ5,SPBFUT,85851.87437295,2015-10-13T10-0-2.063,2,8
RIZ5,SPBFUT,85881.49949836,2015-10-13T10-0-2.063,2,1
