asset, class, price, date-time, flags, quantity
RIZ5,SPBFUT,17954,2015-10-19T9-13-51.026,1026,1
RIZ5,SPBFUT,32189.2,2015-10-19T9-14-27.204,1,1
RIZ5,SPBFUT,43567.36,2015-10-19T9-15-43.982,2,1
RIZ5,SPBFUT,52647.888,2015-10-19T9-16-4.618,1,1
RIZ5,SPBFUT,59878.3104,2015-10-19T9-17-53.33,1,1
RIZ5,SPBFUT,65562.64832,2015-10-19T9-17-54.58,1,1
RIZ5,SPBFUT,70110.118656,2015-10-19T9-17-54.58,1,1
RIZ5,SPBFUT,73748.0949248,2015-10-19T9-17-54.58,1,1
RIZ5,SPBFUT,76824.47593984,2015-10-19T9-18-16.689,2,1
RIZ5,SPBFUT,79119.580751872,2015-10-19T9-18-16.789,1,1
RIZ5,SPBFUT,80955.664601498,2015-10-19T9-18-44.747,1,1
RIZ5,SPBFUT,82590.531681198,2015-10-19T9-19-41.351,2,1
RIZ5,SPBFUT,83798.425344958,2015-10-19T9-31-34.316,1,3
RIZ5,SPBFUT,84772.740275967,2015-10-19T9-51-29.885,1,1
RIZ5,SPBFUT,85562.192220773,2015-10-19T9-55-5.902,1,1
RIZ5,SPBFUT,86193.753776619,2015-10-19T10-0-0.127,1,2
RIZ5,SPBFUT,86699.003021295,2015-10-19T10-0-0.127,1,4
RIZ5,SPBFUT,87099.202417036,2015-10-19T10-0-0.127,1,1
RIZ5,SPBFUT,87415.361933629,2015-10-19T10-0-0.127,1,1
RIZ5,SPBFUT,87658.289546903,2015-10-19T10-0-0.127,1,2
RIZ5,SPBFUT,87852.631637522,2015-10-19T10-0-0.127,1,1
RIZ5,SPBFUT,88008.105310018,2015-10-19T10-0-0.127,1,1
RIZ5,SPBFUT,88132.484248014,2015-10-19T10-0-0.127,1,1
RIZ5,SPBFUT,88231.987398411,2015-10-19T10-0-0.127,1,4
RIZ5,SPBFUT,88319.589918729,2015-10-19T10-0-0.945,1,1
RIZ5,SPBFUT,88315.671934983,2015-10-19T10-0-1.089,1,3
RIZ5,SPBFUT,88348.537547987,2015-10-19T10-0-3.239,2,1
RIZ5,SPBFUT,88408.830038389,2015-10-19T10-0-4.803,2,1
RIZ5,SPBFUT,88465.064030711,2015-10-19T10-0-4.803,2,1
RIZ5,SPBFUT,88510.051224569,2015-10-19T10-0-4.836,2,1
RIZ5,SPBFUT,88546.040979655,2015-10-19T10-0-5.538,2,1
RIZ5,SPBFUT,88552.832783724,2015-10-19T10-0-10.109,2,1
RIZ5,SPBFUT,88576.266226979,2015-10-19T10-0-10.822,2,1
RIZ5,SPBFUT,88595.012981584,2015-10-19T10-0-12.302,2,1
RIZ5,SPBFUT,88610.010385267,2015-10-19T10-0-12.356,2,1
RIZ5,SPBFUT,88590.008308213,2015-10-19T10-0-14.262,1,1
RIZ5,SPBFUT,88572.006646571,2015-10-19T10-0-14.262,1,3
RIZ5,SPBFUT,88561.605317257,2015-10-19T10-0-16.598,1,2
